Product name;Vendor;Type;Amount of pills;Days of usage ;Product type;Delivery frequency every [number] month;Product description
Macoform;Wellvita;Kosttilskud;30;30;tabletter;1;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Macoform er baseret på artiskokekstrakt, der understøtter leverens afgiftende funktion. Artiskok afhjælper oppustethed og flatulens, fremmer vægttab, og kan desuden afhjælpe fordøjelsesproblemer bl.a. ved at fremme produktionen af fordøjelsessaft (galde og andre væsker, man producerer naturligt under fordøjelsen). Indeholder også ekstrakt fra mælkebøtte, som medvirker til at opretholde pH-balancen samt til en normal mave- og leverfunktion.""}]}]}"
Collagen Skin Improver;Wellvita;Kosttilskud;30;30;sticks;1;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Collagen Skin Improver indeholder VERISOL®-kollagen, som forbedrer hudens elasticitet og struktur, reducerer rynker og mindsker appelsinhud. Det er et smagsneutralt pulver, som leveres i sticks af doser med 2,5 gram pr. stk. Du skal blot indtage 1 stick pr. dag for at få det fulde udbytte af Collagen Skin Improver.""}]},{""listType"":""unordered"",""type"":""list"",""children"":[{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""1 stick pr. dag""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Smagsneutralt""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Færre rynker, mindre appelsinhud og øget elasticitet""}]},{""type"":""list-item"",""children"":[{""type"":""text"",""value"":""Dokumenteret virkning""}]}]}]}"
Coenzym Q10;Wellvita;Kosttilskud;60;60;kapsler;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Wellvita Coenzym Q10 består af 30 mg aktivt ubiquinon opløst i vegetabilsk olie,samt thiamin som bidrager til et normalt energistofskifte. De bløde gelatinekapsler kan synkes sammen med et glas vand og skal tages en gang dagligt. ""}]}]}"
Vistavital;Wellvita;Kosttilskud;120;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Vistavital er baseret på blåbær, som vedligeholder og understøtter øjets funktion. Det har et højt indhold af antioxidanter og understøtter endvidere blodforsyningen til øjnene. Derudover består Vistavital af zink og vitamin A, der begge bidrager til at vedligeholde et normalt syn, mens vitamin C har betydning for normalt fungerende blodkar, som er vitalt for øjnene. Som noget ekstra er tabletterne tilsat ekstrakt af boghvede og morgenfrue.""}]}]}"
Artroform;Wellvita;Kosttilskud;60;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Ingredienserne i Artroform indvirker på vedligeholdelsen af brusk- og bindevæv og på leddenes funktion. Produktet indeholder gurkemeje, ingefær og næringsstofferne vitamin C, vitamin D, kobber og mangan. Ekstrakt af gurkemeje medvirker til at afhjælpe ømme led og giver bedre bevægelighed, mens ingefær hjælper med at holde leddene smidige. Vitamin C bidrager til en normal dannelse af kollagen, der har betydning for normalt fungerende brusk. Mangan medvirker til dannelse af bindevæv. Desuden medvirker vitamin D til at vedligeholde en normal muskelfunktion samt normale knogle""},{""type"":""text"",""value"":""r. "",""bold"":true}]}]}"
Movizin Complex;Wellvita;Kosttilskud;180;30;tabletter;1;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Movizin Complex er et kosttilskud med ingredienser til at afhjælpe gener som følge af leddenes slitage og påvirkninger efter mange års brug. Produktet er baseret på ingefær, som hjælper med at bevare leddenes bevægelighed og afhjælper stivhed i kroppens led, samt hyben der medvirker til leddenes udholdenhed og styrke. Indeholder også boswellia, der bidrager til god ledkomfort. Derudover er der tilføjet følgende næringsstoffer: Vitamin C, Vitamin D og mangan.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""- Vitamin C: Bidrager til normal dannelse af kollagen, der har betydning for normalt fungerende knogler og brusk.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""- Vitamin D: Bidrager til at vedligeholde normale knogler og til at vedligeholde en normal muskelfunktion.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""- Mangan: Bidrager til at vedligeholde normale knogler og til normal dannelse af bindevæv.""}]}]}"
Cartiflex Collagen;Wellvita;Kosttilskud;60;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Cartiflex Collagen er baseret på boswellin, som kan medvirke til produktionen af kollagen samt til behagelige led. Indeholder også kemisk ubearbejdet kollagen: Det betyder, at kroppen genkender kollagenet, når det møder særlige områder i tarmen (de såkaldte Peyer’s patches). Vitamin D bidrager til at vedligeholde normale knogler og muskelfunktioner. Vitamin C bidrager til normal dannelse af kollagen, der har betydning for normal fungerende brusk. Kobber bidrager til at vedligeholde et normalt bindevæv. Mangan bidrager til at vedligeholde normale knogler og normal dannelse af bindevæv.""}]}]}"
Prostabona Plus;Wellvita;Kosttilskud;30;30;tabletter;1;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Prostabona Plus indeholder plantebaserede ingredienser til vandladning og prostatafunktion. Det er baseret på hørfrø, som bidrager til en normal prostatafunktion hos modne mænd, samt fennikelfrø som medvirker til en normal vandladning og udskillelse af urin. Produktet indeholder også vitamin E, zink og selen. Zink bidrager til at vedligeholde et normalt testosteronniveau i blodet, mens selen og vitamin E beskytter cellerne mod oxidativt stress. Derudover bidrager selen til normal dannelse af sædceller, og zink medvirker til en normal frugtbarhed og reproduktion.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Lignaner fra hørfrø / linfrø kan understøtte en sund prostata hos aldrende mænd.\nFennikel bidrager til normal udskillelse af urin og normal vandladning.""}]}]}"
Movizin Gel;Wellvita;Muskelgel;75;;ml;;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Movizin Gel er en unik gel til ømme muskler og led. Gelen virker kølende og giver en behagelig følelse – evt. sammen med en let massage. Det har en stærk sammensætning og indeholder bl.a. ingefær, som sammen med en række andre ingredienser virker kølende og afhjælper ømhed.""}]}]}"
Movizin Green;Wellvita;Kosttilskud;180;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Movizin Green er baseret på naturlige indholdsstoffer. Det indeholder ingefær, som medvirker til at vedligeholde leddenes frie bevægelighed og afhjælpe morgenstivhed. Derudover indeholder det hyben, som bidrager til at holde leddene sunde og smidige samt til udholdenhed og styrke. Movizin Green er desuden tilsat affedtede hampefrø fra planten cannabis sativa. Den del af frøene, vi anvender - hvor olien er presset ud - er rig på protein, der kan udnyttes af vores krop.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Hyben, ingefær, affedtede hampefrø og næringsstoffer.""}]}]}"
